Annotee-Identifier	Human-Readable-Description
OG0001188	actin binding lim protein
OG0014189	protein fam9a
OG0003005	acidic leucine rich nuclear phosphoprotein family member
OG0004586	csc protein
OG0012625	t cell immunoreceptor with ig and itim domains
OG0004203	palmitoyl protein thioesterase
OG0015109	thyroid hormone receptor alpha
OG0005772	pecanex protein
OG0011614	cluster co chaperone protein hscb
OG0004804	spectrin beta chain non erythrocytic
OG0012191	ribosomal large subunit pseudouridine synthase c
OG0001260	phospholipase a and acyltransferase
OG0001773	epidermal growth factor protein
OG0001991	membrane spanning 4 domains subfamily a member
OG0014774	unknown sequence family
OG0015486	non histone chromosomal protein hmg
OG0007479	zinc finger protein
OG0008017	alpha n beta sialyltransferase
OG0006181	c x motif chemokine
OG0003119	cytochrome b5
OG0005722	coiled coil domain containing protein 149
OG0008152	serine threonine protein kinase pim
OG0000869	apulose phosphate transketolase subunit
OG0006564	frizzled
OG0005184	ankyrin repeat domain containing protein
OG0014992	unknown sequence family
OG0005086	pleckstrin homology domain family b member
OG0000113	ral guanine nucleotide dissociation stimulator
OG0006357	thap domain containing protein
OG0000491	guanine nucleotide binding protein g i s o subunit gamma
OG0009720	star lipid transfer protein 7 mitochondrial
OG0013450	olfactory receptor protein
OG0008507	kelch and protein
OG0003544	glutamyl trna gln amidotransferase subunit a
OG0012620	n alpha acetyltransferase
OG0014334	homeobox protein nanog
OG0002905	cell adhesion molecule
OG0012756	udp galnac beta n acetylgalactosaminyltransferase
OG0014001	interleukin receptor subunit alpha
OG0000500	synaptonemal complex protein
OG0011608	beta crystallin
OG0000777	small nuclear ribonucleoprotein e
OG0006368	dynein regulatory complex subunit
OG0010496	microtubule associated serine threonine protein kinase
OG0002835	endothelin converting enzyme
OG0014793	cytochrome p450 2u1
OG0012744	beta galactoside alpha sialyltransferase
OG0010947	myelin associated oligodendrocyte basic protein
OG0010214	nck associated protein
OG0002202	cytochrome c oxidase subunit 6c 1
OG0011079	protein pet mitochondrial
OG0005024	outer dynein arm protein
OG0008280	cytochrome c oxidase assembly factor
OG0003891	histone h1 01
OG0006734	serine threonine protein kinase
OG0001817	mitogen activated protein kinase
OG0004309	bestrophin
OG0007559	hexosaminidase d
OG0009418	transmembrane protein
OG0005692	coiled coil and c2 domain containing protein 2a
OG0002373	low density lipoprotein receptor protein
OG0001456	large ribosomal subunit protein el
OG0000375	l lactate dehydrogenase chain
OG0015320	olfactory receptor
OG0011815	atp binding cassette sub family d member
OG0001240	mitochondrial amidoxime reducing component
OG0015373	complement c1q and tumor necrosis factor protein
OG0006611	mono and diacylglycerol lipase
OG0005742	cilia and flagella associated protein
OG0010715	coiled coil domain containing protein
OG0005555	protein limb expression
OG0012496	ap complex associated regulatory protein
OG0013740	alkaline ceramidase
OG0006667	transmembrane protein c16orf54
OG0000781	spermatogenesis associated protein
OG0005335	cocaine and amphetamine regulated transcript protein
OG0002330	testis specific y encoded protein
OG0005479	e3 ubiquitin protein ligase herc
OG0002035	c chemokine receptor type
OG0001413	thyroid hormone receptor associated protein
OG0009221	exonuclease v
OG0015096	unknown sequence family
OG0014478	line retrotransposable element protein
OG0009856	regulator of nonsense transcripts
OG0007318	mam domain containing glycosylphosphatidylinositol anchor protein
OG0013694	signal transducer and activator of transcription
OG0005203	f box only protein
OG0005830	v type immunoglobulin domain containing suppressor of t cell activation
OG0002051	tropomodulin
OG0009526	dna replication complex gins protein sld
OG0006209	centrobin
OG0001103	trace amine associated receptor
OG0007964	serine threonine kinase domain containing protein stkld
OG0007296	hypoxia inducible factor 1 alpha
OG0014443	olfactory receptor
OG0011803	rab effector protein
OG0008186	meiosis inhibitor protein
OG0004758	methyl cpg binding domain protein
OG0008119	protein af
OG0013205	prickle protein 1
OG0004402	rna binding protein
OG0007340	protein o mannosyl transferase tmem
OG0013946	double stranded rna binding protein staufen
OG0005618	small ribosomal subunit protein us
OG0008026	signal induced proliferation associated protein
OG0007890	rrna methyltransferase 3 mitochondrial
OG0002283	tudor domain containing protein
OG0012819	lysine specific histone demethylase
OG0004800	rho guanine nucleotide exchange factor
OG0005422	palmitoyltransferase zdhhc
OG0012209	diphthine ammonia ligase
OG0001966	protein phosphatase regulatory subunit
OG0000157	pwwp domain containing dna repair factor
OG0010472	nad p h hydrate epimerase
OG0007936	transmembrane protein
OG0006043	rho gtpase activating protein
OG0013530	zinc finger protein
OG0002358	glycerol phosphate acyltransferase 1
OG0015273	unknown sequence family
OG0015111	protein argonaute
OG0005866	rpe retinal g protein coupled receptor
OG0007838	zinc finger protein
OG0004454	gdp fucose transporter
OG0007575	transcription factor
OG0002395	splicing factor yju
OG0012648	e3 ubiquitin protein ligase dtx3l
OG0009242	nedd binding protein
OG0011847	microspherule protein
OG0011868	spry domain containing protein
OG0014382	olfactory receptor protein
OG0007093	deubiquitinase desi
OG0003761	eukaryotic translation initiation factor subunit
OG0006083	dynein regulatory complex protein
OG0011288	regulator of nonsense transcripts
OG0000517	beta hydroxysteroid dehydrogenase delta 5 >4 isomerase type
OG0005136	nf kappa b inhibitor
OG0007022	unknown sequence family
OG0009786	lysine specific demethylase
OG0013841	olfactory receptor protein
OG0003793	rbpj interacting and tubulin associated protein
OG0002111	dual specificity mitogen activated protein kinase
OG0000199	complement c1r subcomponent protein
OG0008899	ribonucleoside diphosphate reductase
OG0005023	synaptogyrin
OG0011728	ferry endosomal rab effector complex subunit
OG0010610	ran binding protein
OG0013936	cytochrome p450 26b1
OG0003076	prefoldin subunit
OG0006819	neuronal pentraxin receptor
OG0004067	beta casein
OG0013970	semaphorin
OG0007531	protein reprimo
OG0000704	developmental pluripotency associated protein
OG0000594	cone cgmp specific 3 5 cyclic phosphodiesterase subunit
OG0008184	tumor necrosis factor receptor superfamily member 13c
OG0001311	tyrosine protein kinase transforming abl
OG0001942	amsh protease
OG0000687	catabolic l serine threonine dehydratase
OG0006103	transmembrane protease serine
OG0007026	mannosyl oligosaccharide 1 2 alpha mannosidase
