Annotee-Identifier	Human-Readable-Description
OG0012058	scavenger receptor cysteine rich domain containing protein dmbt
OG0008028	zinc finger and btb domain containing protein
OG0000880	histone h2a type 2 3
OG0002235	serine hydroxymethyltransferase 1
OG0012785	px domain containing protein
OG0007205	myomesin
OG0013326	methyl cpg binding protein
OG0013608	dolichyl pyrophosphate alpha glucosyltransferase
OG0004786	peroxisomal biogenesis factor
OG0003682	cca adding enzyme
OG0014446	c type lectin domain family member protein
OG0009532	transforming acidic coiled coil containing protein
OG0010664	proprotein convertase subtilisin kexin type
OG0001091	f actin capping protein subunit alpha
OG0006705	conserved oligomeric golgi complex subunit
OG0013785	sal protein
OG0006864	vacuolar protein sorting targeting
OG0003138	rwd domain containing protein
OG0013749	ubiquitin carboxyl terminal hydrolase
OG0003728	serum amyloid a 1 protein
OG0014263	e3 ubiquitin protein ligase rnf
OG0010688	olfactory receptor
OG0011691	dynein regulatory complex protein
OG0003816	zinc finger cchc type and rna binding motif containing protein
OG0006928	tubulin polyglutamylase ttll
OG0005601	tm domain containing protein 13
OG0011714	serine threonine protein kinase wnk
OG0013974	methionine aminopeptidase
OG0007822	gametogenetin binding protein
OG0007453	protein unc
OG0009479	carboxypeptidase e
OG0004780	alpha taxilin
OG0010347	serine threonine protein phosphatase regulatory subunit 2
OG0003007	dna repair protein rad
OG0004023	tumor necrosis factor receptor superfamily member
OG0006406	adenosine deaminase domain containing protein
OG0012993	cilia and flagella associated protein
OG0007677	pleckstrin homology domain containing family m member
OG0006514	2 acylglycerol o acyltransferase
OG0010771	transcription initiation factor tfiid subunit
OG0014002	ras protein rab
OG0002867	coiled coil domain containing protein 85c
OG0013550	ankyrin repeat and socs box protein
OG0010211	coiled coil domain containing protein
OG0001687	gremlin
OG0009677	nuclear receptor binding protein
OG0000352	cugbp elav family member 1
OG0010448	tyrosine protein phosphatase non receptor type
OG0004693	ribonuclease p protein subunit p29
OG0013727	unknown sequence family
OG0002794	protein spata31f3
OG0013541	26s proteasome regulatory subunit
OG0011745	pilr alpha associated neural protein
OG0004414	melanoma antigen recognized by t cells
OG0007963	surfeit locus protein
OG0012387	small integral membrane protein
OG0002288	rho gtpase activating protein 21
OG0001321	homeobox protein nkx
OG0008545	e3 ubiquitin protein ligase topors
OG0011932	cytoplasmic polyadenylation element binding protein 1
OG0003085	craniofacial development protein
OG0000035	guanine nucleotide binding protein g i subunit alpha
OG0008068	biogenesis of lysosome organelles complex subunit
OG0012596	zinc finger and btb domain containing protein 16
OG0008874	upf protein c8orf33
OG0002065	major facilitator superfamily domain containing protein 4a
OG0010665	upf protein c19orf25
OG0008002	gtpase activating protein gyp
OG0013179	huntingtin interacting protein m
OG0012941	bifunctional peptidase and arginyl hydroxylase jmjd
OG0015233	pre mrna splicing factor cwc
OG0007343	factor associated with metabolism and energy
OG0015344	proton coupled amino acid transporter protein
OG0003324	cytochrome c oxidase subunit 1 mitochondrial
OG0001584	acetyl coa acetyltransferase mitochondrial
OG0000480	receptor type tyrosine protein phosphatase
OG0014606	homeobox protein tgif2lx
OG0004645	programmed cell death protein
OG0011269	synaptonemal complex protein
OG0008487	transitional endoplasmic reticulum atpase
OG0003651	serine protease
OG0007163	katanin p60 atpase containing subunit a
OG0010218	mitogen activated protein kinase
OG0007593	lysosomal alpha glucosidase
OG0014162	cdgsh iron sulfur domain containing protein 3 mitochondrial
OG0012908	dnaj subfamily member
OG0007896	type inositol polyphosphate 5 phosphatase
OG0004892	dna binding protein rfx
OG0008336	vacuolar protein sorting associated 54
OG0002693	pyruvate dehydrogenase e1 component subunit beta
OG0011780	receptor type tyrosine protein phosphatase
OG0012915	protein fam237a
OG0009427	testican
OG0013960	placenta specific gene protein
OG0005036	sumo activating enzyme subunit 1
OG0007312	fibrous sheath cabyr binding protein
OG0008234	myoglobin
OG0009203	keratocan
OG0006560	chaperone protein dnaj
OG0005106	glutamate rich protein
OG0013518	cgmp specific 3 5 cyclic phosphodiesterase
OG0009458	transmembrane protein
OG0006584	tsc domain family protein
OG0000353	inhibin beta a chain
OG0003937	gag pol polyprotein
OG0012446	cell adhesion molecule dscam
OG0010852	gpalpp motifs containing protein
OG0007829	hepatocyte nuclear factor 1 beta
OG0013800	unknown sequence family
OG0003553	rrna processing protein
OG0000406	glycine n acyltransferase protein
OG0002478	u3 small nucleolar rna associated protein
OG0009379	tryptophan 5 hydroxylase
OG0005063	biogenesis of lysosome organelles complex subunit
OG0006616	zinc finger protein
OG0013406	disco interacting protein b a
OG0005456	heterochromatin protein 1 binding
OG0014890	keratin associated protein
OG0010209	scavenger receptor cysteine rich domain containing protein
OG0011510	helicase swr
OG0008829	popeye domain containing protein 1
OG0006324	large ribosomal subunit protein bl
OG0007743	migration and invasion enhancer
OG0006452	polyamine modulated factor 1 binding protein
OG0009543	dual specificity protein phosphatase
OG0008939	e3 sumo protein ligase nse
OG0000883	zinc finger protein
OG0006551	ribosome maturation protein sbds
OG0006687	eukaryotic translation initiation factor subunit c protein
OG0012466	cilia and flagella associated protein
OG0000569	cytochrome c oxidase subunit mitochondrial
OG0000294	interstitial collagenase
OG0013493	fxyd domain containing ion transport regulator
OG0010316	mkrn opposite strand protein
OG0009002	nf x1 type zinc finger protein nfxl
OG0000832	proteasome activator
OG0000279	thymosin beta
OG0011393	centrosomal protein of kda
OG0003184	protein fam187b
OG0012250	microtubule associated protein
OG0012301	beta galactosyl o glycosyl glycoprotein n acetylglucosaminyltransferase
OG0009906	nicotinamide phosphoribosyltransferase
OG0005965	complement component c8 beta chain
OG0006382	adenine phosphoribosyltransferase
OG0012715	exocyst complex component protein
OG0006533	deoxyribonuclease alpha
OG0008995	transmembrane protein
OG0011919	nuclear receptor coactivator 4
OG0014278	coiled coil domain containing protein
OG0004437	serine threonine protein phosphatase 2b catalytic subunit
OG0015401	unknown sequence family
OG0012485	ankyrin repeat domain containing protein
OG0013996	melanoma associated antigen d1
OG0012190	ankyrin repeat and domain containing protein
OG0003019	acidic phospholipase a2
OG0000260	calmodulin 6 7 8
OG0009500	atp binding cassette sub family f member
OG0000738	vomeronasal type receptor
OG0015424	sulfate anion transporter
OG0013172	choline phosphate cytidylyltransferase
OG0012812	lysine specific demethylase jmj
OG0009594	myomesin
OG0001224	btg protein
OG0014199	1 aminocyclopropane carboxylate synthase protein
OG0008666	wd repeat containing protein
OG0012010	calcium homeostasis modulator protein
OG0009581	centromere protein u
OG0005045	serine threonine protein phosphatase 2a catalytic subunit
OG0005891	adp ribosylation factor protein
OG0003713	organellar oligopeptidase mitochondrial
OG0012497	unknown sequence family
OG0011671	speckle type poz protein
OG0003714	small ribosomal subunit protein us
OG0003317	cyclin dependent kinase 1
OG0014646	potassium channel subfamily k member
OG0000110	olfactory receptor 2a7
OG0001823	lamin a
OG0013762	olfactory receptor protein
OG0015176	seminal vesicle secretory protein
OG0013610	protein yipf
OG0002631	protein theta
OG0011197	oncogene tyrosine protein kinase src
OG0014689	lymphocyte function associated antigen
OG0008821	failed axon connections
OG0000649	membrane progestin receptor alpha
OG0012768	claudin
OG0012041	pdz domain containing protein
OG0007142	bidirectional sugar transporter sweet
OG0009710	transmembrane protein
OG0014526	sodium potassium transporting atpase subunit beta interacting protein
OG0010177	serine threonine protein kinase plk
OG0008870	beta gamma crystallin protein
OG0005812	heterogeneous nuclear ribonucleoprotein
OG0013715	phosphatidylinositol 4 phosphate 5 kinase type
OG0011969	bloc complex member hps
OG0010527	bromodomain containing protein
OG0001325	pleckstrin
OG0001233	calcineurin subunit b type
OG0004597	somatoliberin
OG0004977	c type lectin domain family member a
OG0002339	mesoderm specific transcript protein
OG0003160	proteasome subunit alpha type
OG0002171	sodium and chloride dependent neutral amino acid transporter b 0+
OG0012044	cdk associated and cullin domain containing protein
OG0006554	cap gly domain containing linker protein
OG0007732	keratin type i cuticular ha
OG0014496	guanine nucleotide binding protein g i s o subunit gamma
OG0012939	1 phosphatidylinositol 4 5 bisphosphate phosphodiesterase delta
OG0010159	testis expressed protein
OG0013497	glucose phosphate exchanger
OG0000776	unknown sequence family
OG0011571	serine threonine protein kinase tao
OG0008397	ubiquitin protein atg
OG0001305	hepatocyte growth factor receptor
OG0006102	sodium channel regulatory subunit beta
OG0011626	tbc domain family member
OG0006919	box c d snorna protein
OG0013003	inhibin alpha chain
OG0010778	a kinase interacting protein
OG0002272	atp synthase subunit d mitochondrial
OG0011553	voltage gated hydrogen channel
OG0011131	proenkephalin b
OG0003803	ran specific gtpase activating protein
OG0009673	e3 ubiquitin protein ligase
OG0006481	rho guanine nucleotide exchange factor
OG0005756	small integral membrane protein
OG0013085	gpi mannosyltransferase
OG0007262	apoptotic chromatin condensation inducer in the nucleus
OG0012017	vps domain containing receptor sorcs
OG0004701	protein leg
OG0015314	olfactory receptor protein
OG0004863	unknown sequence family
OG0005377	sorting nexin
OG0007603	protein il
OG0011056	zinc finger cw type pwwp domain protein
OG0008929	zinc fingers and homeoboxes protein 1
OG0007094	heterogeneous nuclear ribonucleoprotein u protein
OG0000521	u1 small nuclear ribonucleoprotein a
OG0001064	olfactory receptor 1e1
OG0010304	transmembrane protein
OG0010909	regulator of nonsense transcripts
OG0013714	signal transducer and activator of transcription 1
OG0013606	adenylate kinase 4 mitochondrial
OG0010262	high mobility group protein 20a
OG0012045	eukaryotic translation initiation factor subunit a
OG0003221	protein fam229a
OG0006908	protein wiz
OG0011220	alpha tocopherol transfer protein
OG0004784	androgen dependent tfpi regulating protein
OG0014697	unknown sequence family
OG0000390	ras protein rab 3a
OG0007314	tog array regulator of axonemal microtubules protein
OG0002166	programmed cell death ligand
OG0010643	cell division cycle 20 1 cofactor of apc complex
OG0000556	kelch and protein
OG0013042	regulator of g protein signaling
OG0010388	ubiquinol cytochrome c reductase complex assembly factor
OG0013122	retrotransposon gag protein
OG0004314	cmp n beta galactoside alpha sialyltransferase
OG0001755	rims binding protein
OG0012050	phospholipase ddhd
OG0002420	checkpoint protein
OG0010362	tho complex subunit
OG0002240	cellular tumor antigen p53
OG0011210	1 phosphatidylinositol 4 5 bisphosphate phosphodiesterase
OG0004226	nf kappa b inhibitor protein
OG0010854	protein fam216b
OG0013123	paraneoplastic antigen ma
OG0002948	n alpha acetyltransferase
OG0003628	cytochrome c oxidase subunit mitochondrial
OG0001950	acyl coenzyme a thioesterase them
OG0013152	ankyrin repeat and socs box protein
OG0003486	interleukin
OG0006827	replication factor c large subunit
OG0011593	forkhead box protein
OG0001588	transmembrane protein
OG0014813	choline ethanolamine kinase
OG0013824	laminin subunit beta
OG0013287	cdkn2aip n terminal protein
OG0005337	small ribosomal subunit protein ms
OG0001284	protein fam47e
OG0005748	myoregulin
OG0001974	cyclin t1 1
OG0009748	transmembrane protein 150a
OG0002266	paired mesoderm homeobox protein
OG0012077	receptor type tyrosine protein phosphatase
OG0006777	vasorin
OG0001465	membrane associated guanylate kinase ww and pdz domain containing protein
OG0000410	nuclear rna export factor
OG0013633	germ cell specific gene protein
OG0010785	lymphatic vessel endothelial hyaluronic acid receptor
OG0004711	protein phosphatase
OG0001718	transmembrane emp domain containing protein
OG0003820	daz associated protein
OG0015440	unknown sequence family
OG0012669	palmitoyltransferase zdhhc
OG0005269	binding splicing factor
OG0003421	protein s100
OG0003430	testis specific serine threonine protein kinase
OG0006846	gator complex protein nprl
OG0002770	embryogenesis protein zyg
OG0009392	methylmalonic aciduria type a protein mitochondrial
OG0007503	unknown sequence family
OG0010724	bromodomain adjacent to zinc finger domain protein 1a
OG0007416	tubulin polyglutamylase ttll
OG0012340	gram domain containing protein 2b
OG0010090	associated e3 ubiquitin protein ligase
OG0004771	interleukin receptor subunit alpha
OG0011105	substance p receptor
OG0001153	large ribosomal subunit protein el
OG0009298	e3 ubiquitin protein ligase hace
OG0008920	collectin
OG0009132	canal kelch protein
OG0010743	protein phosphatase methylesterase
OG0009732	ribose phosphate isomerase
OG0010351	ferm domain containing protein
OG0001879	protein furry
OG0006267	interleukin receptor
OG0014662	zinc finger protein
OG0003342	phosphoserine phosphatase
OG0011070	centrosomal protein kizuna
OG0013648	prostaglandin e2 receptor ep subtype
OG0007033	protein odr
OG0004633	nitric oxide synthase protein
OG0005930	coiled coil domain containing protein 69
OG0007066	e selectin
OG0002809	krueppel factor
OG0009267	run and fyve domain containing protein
OG0002304	ras gtpase activating protein
OG0010945	xin actin binding repeat containing protein
OG0014651	mitogen activated protein kinase
OG0012433	biotin protein ligase 1
OG0011017	5 3 exoribonuclease
OG0015229	resistin
OG0006310	pleckstrin homology domain containing family n member
OG0009359	leucine aminopeptidase
OG0002300	uridine cytidine kinase 1
OG0008253	ankyrin repeat domain containing protein
OG0004227	ectodysplasin a
OG0009667	ketohexokinase
OG0002860	uridine and phosphorylase
OG0013657	vesicle transport protein
OG0007495	gdp mannose pyrophosphatase
OG0006971	tropomodulin
OG0003082	transcription initiation factor tfiid subunit
OG0006395	genetic suppressor element
OG0002320	mitochondrial import receptor subunit tom
OG0008382	small ribosomal subunit protein rack
OG0009751	vitamin k dependent gamma carboxylase
OG0011042	protein mono adp ribosyltransferase parp
OG0015427	sorting nexin
OG0001841	glutamate receptor ionotropic nmda
OG0011747	parathymosin
OG0007979	atp dependent rna helicase dbp
OG0012561	anthrax toxin receptor
OG0008637	apolipoprotein m
OG0012341	sentrin specific protease
OG0004978	leucine rich repeat and containing protein
OG0014043	acetylcholinesterase collagenic tail peptide
OG0012274	signal peptide peptidase
OG0012524	tyrosine protein kinase abl
OG0014634	interleukin receptor e protein
OG0008049	endoregulin
OG0004792	helicase transcription factor chr
OG0007486	bag family molecular chaperone regulator
OG0006486	tubulin polymerization promoting protein family member
OG0010018	patatin phospholipase domain containing protein
OG0000942	zinc finger protein
OG0004192	interleukin
OG0010766	tripartite motif containing protein
OG0002257	inactive serine threonine protein kinase plk
OG0005652	talin rod domain containing protein
OG0013190	protein uxt
OG0007226	lipoprotein lipase
OG0003399	ladinin
OG0006732	inositol 1 4 5 trisphosphate receptor interacting protein
OG0009615	collectin
OG0013786	serine protease
OG0008314	translation initiation factor if
OG0011352	nedd binding protein
OG0005470	f actin capping protein subunit beta
OG0006067	transmembrane protein
OG0015374	protein wfdc
OG0011755	ribosomal rna small subunit methyltransferase nep
OG0014051	rcc and btb domain containing protein
OG0010281	solute carrier family member
OG0008125	tyrosine protein phosphatase non receptor type
OG0009385	nuclear transcription factor y subunit b 1
OG0003542	atpase
OG0013107	ubiquitin carboxyl terminal hydrolase 22
OG0011325	surfactant protein c
OG0010072	u4 u6 u5 tri snrnp associated protein
OG0008582	tumor necrosis factor member
OG0011500	transmembrane protein
OG0006630	ribosomal rna large subunit methyltransferase e
OG0013684	alpha mannosylglycoprotein 6 beta n acetylglucosaminyltransferase
OG0011936	centrosomal protein of kda
OG0001673	chromosome associated kinesin kif
OG0003755	ras association domain containing protein
OG0000951	a disintegrin and metalloproteinase with thrombospondin motifs
OG0006354	polynucleotide 5 hydroxyl kinase nol
OG0011929	e3 ubiquitin protein ligase
OG0007637	conserved oligomeric golgi complex subunit
OG0001638	ankyrin repeat and sam domain containing protein 4b
OG0014934	transmembrane protein pmis
OG0009825	pleckstrin homology domain containing family o member 1
OG0003818	la protein
OG0013764	gap junction gamma protein
OG0003921	pre rrna processing protein tsr
OG0009872	calcium binding protein
OG0005005	glycogen [starch] synthase
OG0015318	olfactory receptor
OG0002975	small integral membrane protein
OG0012376	nut family member
OG0010521	hematopoietic sh domain containing protein
OG0004879	transient receptor potential cation channel subfamily m member
OG0015279	keratin associated protein
OG0010829	leucine rich repeat transmembrane protein ccdc
OG0004737	protein disulfide isomerase
OG0013635	cd antigen protein c
OG0010756	nuclear mitotic apparatus protein
OG0001368	large ribosomal subunit protein ul
OG0009093	gtpase obg
OG0003093	short transient receptor potential channel
OG0004583	tumor necrosis factor member
OG0008813	casp associated protein
OG0001141	marcks protein 1
OG0007231	ska complex subunit
OG0006250	villin
OG0006299	leucine rich repeat containing protein
OG0000593	mucin
OG0001483	leucine rich repeat containing protein
OG0013370	complement c1q subcomponent subunit
OG0002522	interferon induced gtp binding protein mx
OG0002505	unknown sequence family
OG0010844	protein associated with uvrag as autophagy enhancer
OG0013240	neurite extension and migration factor
OG0003690	receptor transporting protein
OG0004575	3 oxo alpha steroid 4 dehydrogenase
OG0009754	venom protein gelsolin
OG0005121	unknown sequence family
OG0003599	dna cytosine methyltransferase
OG0010543	trna guanine 26 n 2 dimethyltransferase
OG0009055	synaptosomal associated protein
OG0011076	dna directed rna polymerase iii subunit rpc
OG0004809	connector enhancer of kinase suppressor ras
OG0013729	sigma non opioid intracellular receptor
OG0014134	ras protein rab 5a
OG0004183	relaxin receptor
OG0010323	fanconi anemia group d2 protein
OG0001201	camp dependent protein kinase type regulatory subunit
OG0014954	protein hrurf
OG0013017	myelin protein zero
OG0010538	break repair meiotic recombinase recruitment factor
OG0005308	dexh box atp dependent rna helicase
OG0014499	olfactory receptor protein
OG0001006	rho gtpase activating protein 21
OG0006904	protein spo
OG0001197	e3 ubiquitin protein ligase dtx
OG0010941	d xylulose kinase
OG0012417	cilia and flagella associated protein 298
OG0002400	ras protein rab 6a
OG0010933	programmed cell death 6 interacting protein
OG0007715	max protein x
OG0003178	mitochondrial import inner membrane translocase subunit tim
OG0003550	delayed rectifier potassium channel regulatory subunit kcns
OG0004677	cellular tumor antigen p53
OG0000416	albumin
OG0007214	protein apcdd
OG0002679	dna directed rna polymerase subunit
OG0000714	nuclear receptor coactivator
OG0012120	alpha tocopherol transfer protein
OG0011830	heme transporter hrg
OG0015196	homeobox protein msx
OG0011150	targeting protein for xklp
OG0007536	keratin associated protein
OG0015321	olfactory receptor
OG0009185	alpha aminoadipic semialdehyde synthase mitochondrial
OG0014100	pantothenate kinase 2
OG0008333	transmembrane protein
OG0005160	associated rna binding protein
OG0002232	myosin
OG0000276	coagulation factor x
OG0006127	alpha mannosyltransferase alg
OG0007196	gdp mannose transporter
OG0004581	lamin a
OG0012228	unknown sequence family
OG0009645	transitional endoplasmic reticulum atpase
OG0004616	interferon inducible gtpase
OG0012613	autophagy protein
OG0003840	fatty acid binding protein
OG0008441	anaphase promoting complex subunit
OG0000135	serine threonine protein kinase mark
OG0010160	neurotensin receptor type
OG0014081	spermatogenesis associated protein
OG0014933	unknown sequence family
OG0014510	olfactory receptor
OG0011792	choline ethanolamine kinase
OG0005001	inactive sodium dependent neutral amino acid transporter b 0 at
OG0007369	max protein
OG0004739	pigf 3 ketodihydrosphingosine reductase protein
OG0008868	proteasome subunit beta type
OG0002698	b cell cll lymphoma protein family member a
OG0015474	cytochrome p450 2u1
OG0003055	protein fam151a
OG0011720	forkhead box protein m1
OG0003530	chorion specific transcription factor
OG0006993	upf protein c1orf74
OG0006710	immunoglobulin superfamily member
OG0006238	leucine rich repeat containing protein
OG0002364	protein phosphatase 2c
OG0005680	negative elongation factor a
OG0005482	microfibrillar associated protein
OG0004578	carbohydrate sulfotransferase
OG0009712	extracellular tyrosine protein kinase pkdcc
OG0001314	interacting serine threonine protein kinase
OG0013050	rab gtpase activating protein non catalytic subunit
OG0014127	voltage dependent l type calcium channel subunit beta
OG0015162	interferon inducible gtpase
OG0001614	cytosolic arginine sensor for mtorc subunit
OG0011043	voltage gated potassium channel subunit beta
OG0013803	protein lratd
OG0006251	lethal 2 giant larvae protein
OG0005305	serine protease inhibitor kazal type
OG0005560	rieske domain containing protein
OG0007702	highly reducing polyketide synthase 07659
OG0007925	zinc finger mynd domain containing protein
OG0002079	ankyrin repeat domain containing protein
OG0010336	n glycosylase dna lyase
OG0007299	sorting nexin
OG0006211	trafficking protein particle complex subunit
OG0013171	peroxiredoxin
OG0001355	m phase inducer phosphatase 1
OG0000732	nadh dehydrogenase [ubiquinone] beta subcomplex subunit
OG0004409	neurotrophic factor bdnf precursor form
OG0013680	torsin protein
OG0005604	ankyrin repeat and socs box protein
OG0006844	u1 snrnp associated protein usp
OG0015010	olfactory receptor protein
OG0012178	integrator complex subunit
OG0013899	serine rich and transmembrane domain containing protein
OG0000292	vomeronasal type receptor
OG0008433	transforming growth factor beta induced protein ig h3
OG0010294	histone h1 01
OG0013748	tenascin r
OG0010896	dna ligase
OG0004860	poly a polymerase
OG0004254	dystroglycan
OG0000782	alpha beta hydrolase domain containing protein
OG0001842	protein nipsnap
OG0001369	myosin regulatory light chain 2 muscle
OG0014129	spermatid nuclear transition protein
OG0014171	glycoside 26 beta glucosidase
OG0000499	ubiquitin carboxyl terminal hydrolase 22
OG0005631	tubulin polyglutamylase ttll
OG0001315	cyclic amp responsive element binding protein
OG0015103	kidney mitochondrial carrier protein
OG0009114	collagen alpha vi chain
OG0002678	zinc finger protein
OG0004756	dna polymerase iv
OG0005029	mesoderm induction early response protein
OG0008794	centrosomal protein of kda
OG0012606	pi plc x domain containing protein
OG0001810	glutamine fructose phosphate aminotransferase [isomerizing]
OG0014965	udp glucuronosyltransferase
OG0010230	ly plaur domain containing protein
OG0010449	sterol regulatory element binding protein cleavage activating
OG0012207	dna replication atp dependent helicase nuclease
OG0012248	transmembrane protein
OG0012127	vexin
OG0000486	calcium calmodulin dependent protein kinase type ii subunit
OG0001460	protein fam167a
OG0011766	apoptosis facilitator bcl protein
OG0005502	cilia and flagella associated protein
OG0015026	unknown sequence family
OG0012692	receptor transporting protein
OG0005533	barh homeobox protein
OG0004787	protein ltv
OG0004139	vascular cell adhesion protein
OG0003153	aurora kinase a b
OG0011103	shieldin complex subunit
OG0005153	proline and serine rich protein
OG0006524	tumor necrosis factor receptor superfamily member
OG0011265	cytosol aminopeptidase
OG0010606	poly rc binding protein
OG0004835	zinc finger containing ubiquitin peptidase
OG0007284	somatostatin receptor type
OG0014987	microtubule actin cross linking factor 1 isoforms 6 7
OG0006407	tata box binding protein associated factor rna polymerase i subunit c
OG0007282	nucleolar protein
OG0004152	phospholamban
OG0005784	protein arv
OG0011882	transcription factor nf e2 kda subunit
OG0003348	intraflagellar transport protein
OG0006264	transmembrane protein 11 mitochondrial
OG0006640	protein cholesin
OG0010359	prickle protein 1
OG0005196	microtubule associated serine threonine protein kinase
OG0014523	coiled coil domain containing protein
OG0004333	phosphatidylinositol phosphatase sac
OG0014083	zinc finger protein
OG0011939	solute carrier family member g1
OG0004382	cyclin dependent kinase inhibitor
OG0002139	protein fam32a
OG0001228	thiol s methyltransferase tmt1b
OG0013180	bcl corepressor protein
OG0007872	gtpase era
OG0007612	fas binding factor
OG0003572	protein lifeguard
OG0004838	dehydrodolichyl diphosphate synthase complex subunit nus
OG0011539	leucine rich repeat containing protein
OG0009380	achaete scute protein
OG0012856	ermin
OG0003437	cyclin dependent kinase inhibitor
OG0013927	prickle protein 1
OG0001967	protein nrt ptr family
OG0012685	receptor transporting protein
OG0002743	protein enhancer of rudimentary
OG0011839	peptidyl prolyl cis trans isomerase fkbp
OG0006197	spermatid maturation protein
OG0006792	pre mrna splicing factor cwc
OG0014095	serine threonine protein phosphatase 2b catalytic subunit
OG0011966	cartilage acidic protein
OG0001230	kda ribonucleoprotein associated protein
OG0011194	deoxynucleoside triphosphate triphosphohydrolase samhd
OG0003763	reactive oxygen species modulator
OG0007643	regulator of g protein signaling
OG0013839	tumor necrosis factor receptor superfamily member
OG0006171	nuclear pore complex protein nup
OG0012246	kinesin protein unc
OG0015019	olfactory receptor
OG0009774	methylcytosine dioxygenase tet
OG0006351	unknown sequence family
OG0002533	serine protease
OG0015007	speckle type poz protein
OG0003170	hypoxia inducible factor 1 alpha
OG0001360	urokinase type plasminogen activator
OG0002888	single pass membrane and coiled coil domain containing protein
OG0000967	cytochrome c oxidase subunit ndufa
OG0001177	gamma aminobutyric acid receptor subunit alpha
OG0002869	aldehyde dehydrogenase family member a2
OG0005340	transmembrane protein
OG0003927	ribosomal protein s6 kinase
OG0007103	protein stum
OG0011601	protein adenylyltransferase fic
OG0002157	katanin p60 atpase containing subunit a1
OG0003270	serine threonine protein phosphatase 2b catalytic subunit
OG0014169	apyrase
OG0006060	coiled coil domain containing protein
OG0000123	copine
OG0004077	gonadotropin releasing hormone receptor
OG0006063	myb sant dna binding domain containing protein
OG0007621	caskin
OG0014567	tetraspanin
OG0012171	meckelin
OG0005783	protein sgt
OG0004231	podocalyxin protein
OG0011820	interleukin receptor associated kinase
OG0009208	kelch and protein
OG0004248	tissue type plasminogen activator
OG0008392	atp dependent rna helicase protein
OG0012808	tbc domain family member
OG0003255	peptidyl prolyl cis trans isomerase
OG0011703	diacylglycerol o acyltransferase
OG0004675	olfactory receptor
OG0012515	cxxc type zinc finger protein
OG0013366	er lumen protein retaining receptor 1
OG0010454	transmembrane inner ear expressed protein
OG0009630	nbas subunit of nrz tethering complex
OG0005503	short chain dehydrogenase reductase member
OG0001094	beta defensin
OG0001874	receptor tyrosine protein kinase
OG0001912	fhip family protein 18400
OG0013341	cyclic nucleotide gated channel alpha
OG0004320	rab effector myrip
OG0001973	clip associating protein 1
OG0004914	fyve rhogef and ph domain containing protein
OG0008230	eukaryotic translation initiation factor subunit d 1
OG0007769	tax binding protein
OG0005263	enoyl coa hydratase domain containing protein 3 mitochondrial
OG0001345	neutrophil cytosol factor
OG0008627	valine trna ligase
OG0005782	protein fam89a
OG0009795	immunoglobulin superfamily member
OG0006889	dihydropyrimidine dehydrogenase [nadp + ]
OG0004423	coiled coil domain containing protein
OG0000815	myocardin transcription factor a
OG0011971	metal transporter cnnm
OG0002603	gem associated protein
OG0003964	sperm protein associated with the nucleus on x chromosome
OG0010880	g protein coupled receptor 183
OG0009423	e3 ubiquitin protein ligase marchf
OG0007894	protein liat
OG0011142	tbc domain family member
OG0015463	olfactory receptor
OG0006951	shc sh domain binding protein
OG0008846	[f actin] monooxygenase mical
OG0011100	trna adenine 58 n 1 methyltransferase non catalytic subunit trm
OG0013258	armadillo repeat containing x linked protein
OG0013851	lysophosphatidic acid receptor 1
OG0014658	zinc finger protein
OG0003362	glutamate trna ligase
OG0000138	olfactory receptor
OG0010838	calcium binding protein
OG0003192	cold shock protein cspa
OG0001548	myozenin
OG0005187	g1 s specific cyclin
OG0012925	major facilitator superfamily domain containing protein 6
OG0015310	olfactory receptor
OG0012827	armadillo helical domain containing protein
OG0012832	histone h1 01
OG0003400	zinc finger y chromosomal protein
OG0001736	pro neuropeptide y
OG0003689	tumor suppressor candidate
OG0013245	bromodomain and wd repeat containing protein
OG0002016	wap four disulfide core domain protein 10a
OG0008694	potassium channel subfamily k member
OG0004499	basic immunoglobulin variable motif containing protein
OG0010241	26s proteasome non atpase regulatory subunit
OG0006459	conserved oligomeric golgi complex subunit
OG0001655	shc transforming protein
OG0013445	nadh ubiquinone oxidoreductase chain
OG0000247	gastric triacylglycerol lipase
OG0008990	rho gtpase activating protein
OG0008984	tonsoku protein
OG0015308	olfactory receptor
OG0000788	zinc finger protein
OG0011582	heterogeneous nuclear ribonucleoprotein d
OG0003261	re silencing transcription factor
OG0005834	activating signal cointegrator complex subunit
OG0004033	t box transcription factor tbx
OG0002953	nuclear cap binding protein subunit 2
OG0014181	ras protein rab
OG0008468	equatorin
OG0004031	endothelin
OG0002763	diacylglycerol kinase
OG0005230	lim and sh domain protein 3
OG0008645	lymphocyte antigen 6g6e
OG0007280	geranylgeranyl transferase type subunit alpha
OG0004317	cytochrome b 245 light chain
OG0000835	keratin high sulfur matrix protein
OG0015195	potassium voltage gated channel subfamily a member
OG0003732	s formylglutathione hydrolase
OG0001820	dmx protein
OG0007075	protein creg
OG0006358	vesicle associated membrane protein
OG0008261	ashwin
OG0006778	zinc finger protein gli
OG0000540	zinc finger protein
OG0014696	c3a anaphylatoxin chemotactic receptor
OG0006945	protein wntless
OG0006781	eh domain containing protein
OG0000241	unknown sequence family
OG0003057	sperm associated antigen
OG0011771	atp dependent rrna helicase rrp
OG0013831	synaptotagmin
OG0008621	phostensin
